Country Name,Country Code,Indicator Name,Indicator Code,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Azerbaijan,AZE,"Wage and salaried workers, total (% of total employment) (modeled ILO estimate)",SL.EMP.WORK.ZS,47.74000168,45.84000015,43.95000076,41.83000183,39.43000031,37.16999817,35.25,33.70999908,32.36999893,31.59000015,30.96999931,30.55999947,30.37000084,30.34000015,30.32999992,30.70000076,31.26000023,31.76000023,32.43000031,31.95000076,31.70999908,33.31000137,33.49000168,33.20999908,32.29000092,31.81999969,31.62000084,31.79999924,32.15000153,
Burundi,BDI,"Wage and salaried workers, total (% of total employment) (modeled ILO estimate)",SL.EMP.WORK.ZS,18.37000084,18.27000046,18.04000092,17.95000076,17.14999962,16.19000053,16.10000038,16.09000015,16.02000046,15.96000004,15.88000011,15.81000042,15.92000008,14.92000008,15.23999977,14.98999977,15.30000019,15.02000046,15.36999989,15.10999966,15.05000019,15.30000019,15.35000038,15.35999966,14.92000008,14.97000027,14.60999966,14.39000034,14.19999981,
Belgium,BEL,"Wage and salaried workers, total (% of total employment) (modeled ILO estimate)",SL.EMP.WORK.ZS,82.73999786,82.13999939,82.08999634,82.27999878,82.05999756,82.01000214,82.66000366,82.88999939,82.73000336,83.95999908,84.77999878,84.55999756,84.84999847,85.30000305,84.76999664,84.93000031,85.18000031,85.77999878,85.19999695,85.63999939,85.69999695,85.65000153,84.91999817,85.38999939,84.81999969,85.16000366,85.70999908,85.97000122,85.76999664,
Benin,BEN,"Wage and salaried workers, total (% of total employment) (modeled ILO estimate)",SL.EMP.WORK.ZS,8.100000381,8.159999847,8.180000305,9.470000267,9.380000114,9.43999958,9.539999962,9.43999958,9.609999657,9.670000076,9.93999958,10.01000023,10.10999966,10.01000023,10.09000015,10.03999996,9.989999771,9.819999695,9.909999847,10,9.979999542,9.970000267,10.22000027,10.48999977,10.81000042,10.64999962,11.09000015,11.32999992,11.90999985,
Burkina Faso,BFA,"Wage and salaried workers, total (% of total employment) (modeled ILO estimate)",SL.EMP.WORK.ZS,4.28000021,4.289999962,4.28000021,4.28000021,4.289999962,4.349999905,4.519999981,4.539999962,4.829999924,4.869999886,4.980000019,5.159999847,5.630000114,5.889999866,6.039999962,6.409999847,7.130000114,7.400000095,8.199999809,9.329999924,10.42000008,10.96000004,11.30000019,12.18000031,12.51000023,13.14000034,13.64999962,13.93000031,14.31000042,
Bangladesh,BGD,"Wage and salaried workers, total (% of total employment) (modeled ILO estimate)",SL.EMP.WORK.ZS,31.5,31.54999924,31.60000038,31.63999939,31.76000023,31.87999916,32.02999878,32.25,32.5,32.84999847,33.25,33.59000015,34.00999832,34.47000122,35.08000183,35.77999878,36.27000046,36.75,37.18000031,37.65999985,38.08000183,38.49000168,38.83000183,39.11000061,39.31999969,39.40000153,39.5,40.11999893,40.72999954,
Bulgaria,BGR,"Wage and salaried workers, total (% of total employment) (modeled ILO estimate)",SL.EMP.WORK.ZS,84.69000244,84.55000305,84.38999939,84.27999878,84.15000153,84.09999847,83.88999939,83.81999969,83.56999969,83.63999939,84.86000061,84.88999939,84.12999725,84.16999817,85.95999908,86.86000061,87.58999634,87.59999847,87.51999664,87.43000031,87.88999939,88.41000366,87.86000061,87.51000214,87.97000122,88.26999664,88.09999847,88.34999847,89.16999817,
Bahrain,BHR,"Wage and salaried workers, total (% of total employment) (modeled ILO estimate)",SL.EMP.WORK.ZS,94.47000122,94.70999908,95.02999878,95.20999908,95.40000153,95.56999969,95.73000336,95.84999847,95.98999786,96.16999817,96.29000092,95.77999878,95.87999725,95.68000031,95.94999695,95.91000366,96.11000061,96.18000031,96.26999664,97.34999847,97.30000305,97.29000092,97.29000092,97.29000092,97.30999756,97.33000183,97.33000183,97.31999969,97.33000183,
"Bahamas, The",BHS,"Wage and salaried workers, total (% of total employment) (modeled ILO estimate)",SL.EMP.WORK.ZS,87.56999969,86.76000214,86.76000214,85.58999634,85.61000061,83.23000336,85.04000092,85.16999817,83.98999786,85.04000092,85.94000244,84.51999664,85.58000183,84.88999939,85.37999725,85.84999847,86.19000244,86.56999969,86.55999756,86.15000153,85.69999695,85.63999939,85.41000366,85.29000092,85.12000275,85.06999969,84.97000122,84.87999725,84.83000183,
Bosnia and Herzegovina,BIH,"Wage and salaried workers, total (% of total employment) (modeled ILO estimate)",SL.EMP.WORK.ZS,60.38000107,59.22999954,58.61999893,59.45000076,60.88000107,64.40000153,66.66999817,68.30999756,69.40000153,70.13999939,70.68000031,70.94999695,71.18000031,71.66999817,72.08000183,72.51000214,73.01000214,72.48999786,72.79000092,73.44000244,74.75,72.61000061,74.87999725,76.95999908,76.44999695,75.95999908,75.44000244,78.63999939,75.09999847,
Belarus,BLR,"Wage and salaried workers, total (% of total employment) (modeled ILO estimate)",SL.EMP.WORK.ZS,96.81999969,96.70999908,96.5,96.25,96,95.75,95.54000092,95.37000275,95.23999786,95.16000366,95.05000305,95.05000305,95.06999969,95.16999817,95.26000214,95.41999817,95.54000092,95.69999695,95.77999878,95.84999847,95.97000122,96,96.02999878,96.02999878,95.98999786,95.94000244,95.62999725,95.81999969,95.73000336,
Belize,BLZ,"Wage and salaried workers, total (% of total employment) (modeled ILO estimate)",SL.EMP.WORK.ZS,68.76999664,68.93000031,68.94000244,68.61000061,68.40000153,65.91000366,66.08999634,66.27999878,66.69999695,67.51000214,67.80999756,68.12000275,68.65000153,69.02999878,69.38999939,69.62999725,69.47000122,69.44999695,69.08999634,68.88999939,68.61000061,68.19000244,67.80000305,69.25,67.98000336,66.5,66.77999878,66.41000366,65.91000366,
Bermuda,BMU,"Wage and salaried workers, total (% of total employment) (modeled ILO estimate)",SL.EMP.WORK.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bolivia,BOL,"Wage and salaried workers, total (% of total employment) (modeled ILO estimate)",SL.EMP.WORK.ZS,29.79999924,29.75,29.78000069,29.84000015,29.92000008,30.05999947,30.39999962,30.67000008,31.10000038,31.94000053,33.61000061,32.31999969,34.45999908,36.66999817,35.33000183,35.18999863,38.34999847,39.18999863,41.93000031,40.77999878,39.65999985,40.90000153,39.83000183,37.31000137,38.90000153,30.39999962,31.13999939,31.46999931,31.75,
Brazil,BRA,"Wage and salaried workers, total (% of total employment) (modeled ILO estimate)",SL.EMP.WORK.ZS,62.47000122,62.13999939,62.29000092,62.45000076,62.58000183,63.97999954,63.22000122,63.08000183,62.45000076,62.90000153,63.20000076,63.06000137,63,63.56000137,63.47000122,64.26000214,65.41999817,66.44999695,66.94999695,67.86000061,68.51000214,70.12000275,69.87000275,69.98999786,68.69999695,68.25,67.69999695,67.25,66.91999817,
Barbados,BRB,"Wage and salaried workers, total (% of total employment) (modeled ILO estimate)",SL.EMP.WORK.ZS,87.29000092,86.98999786,85.83000183,87.01000214,87.12000275,87.29000092,87.83999634,87.38999939,86.01000214,87.30000305,85.94000244,85.93000031,85.55999756,84.76000214,84.83999634,85.12000275,85.12000275,85.04000092,84.47000122,84.05000305,83.76999664,83.48999786,83.23999786,83,82.98999786,83.01000214,82.93000031,82.76999664,82.65000153,
Brunei Darussalam,BRN,"Wage and salaried workers, total (% of total employment) (modeled ILO estimate)",SL.EMP.WORK.ZS,94.93000031,94.87000275,94.75,94.66000366,94.59999847,94.54000092,94.41000366,94.23000336,94.08999634,93.95999908,93.79000092,93.68000031,93.58000183,93.44999695,93.30999756,93.16999817,92.98000336,92.84999847,92.56999969,92.36000061,92.23000336,92.08999634,91.91000366,91.66999817,91.55999756,91.37000275,91.08999634,92.43000031,91.01999664,
Bhutan,BTN,"Wage and salaried workers, total (% of total employment) (modeled ILO estimate)",SL.EMP.WORK.ZS,22.92000008,23.02000046,23.06999969,23.20000076,23.39999962,23.60000038,23.79999924,24.03000069,24.36000061,24.70999908,25.20000076,25.87999916,26.47999954,27.03000069,27.61000061,28.12999916,29.01000023,29.54000092,30.14999962,30.88999939,28.88999939,29.11000061,29.20000076,29.20999908,27.60000038,27.61000061,27.62999916,27.55999947,27.88999939,
Botswana,BWA,"Wage and salaried workers, total (% of total employment) (modeled ILO estimate)",SL.EMP.WORK.ZS,61.27999878,62.79000092,64.48999786,66.16999817,74.38999939,80.29000092,79.79000092,79.20999908,78.44000244,77.27999878,76.41999817,75.58999634,74.83000183,73.48999786,71.95999908,70.95999908,70.93000031,70.97000122,69.69000244,70.70999908,71.55999756,72.51999664,73.69000244,74.33999634,74.66000366,74.91999817,75.40000153,75.80000305,76.11000061,
Central African Republic,CAF,"Wage and salaried workers, total (% of total employment) (modeled ILO estimate)",SL.EMP.WORK.ZS,7.829999924,7.650000095,7.619999886,7.519999981,7.510000229,7.059999943,6.849999905,6.809999943,6.730000019,6.599999905,6.570000172,6.519999981,6.239999771,6.309999943,6.260000229,6.449999809,6.610000134,6.820000172,7.010000229,7.110000134,7.210000038,7.320000172,7.019999981,6.699999809,6.539999962,6.519999981,6.619999886,6.699999809,6.849999905,
Canada,CAN,"Wage and salaried workers, total (% of total employment) (modeled ILO estimate)",SL.EMP.WORK.ZS,85.26000214,84.86000061,84.27999878,84.47000122,84.33000183,83.80000305,82.90000153,82.81999969,83.05000305,83.87000275,84.75,84.80000305,84.59999847,84.56999969,84.38999939,84.73000336,84.5,84.41999817,83.90000153,84.19000244,84.54000092,84.63999939,84.56999969,84.69000244,84.62000275,84.68000031,84.76000214,84.66999817,84.76999664,
Central Europe and the Baltics,CEB,"Wage and salaried workers, total (% of total employment) (modeled ILO estimate)",SL.EMP.WORK.ZS,76.25255055,74.63551637,74.35906213,74.72788978,74.38974162,74.76029559,74.03413935,74.15342585,73.67948216,73.13595135,73.07308011,75.04345572,75.40781323,76.52527423,77.05108465,78.01023834,78.63827983,79.23529337,78.87846789,78.11899354,78.6320525,78.8950707,79.32196875,79.7273577,80.56162652,81.3640522,81.62394627,81.96317308,82.29548092,
Switzerland,CHE,"Wage and salaried workers, total (% of total employment) (modeled ILO estimate)",SL.EMP.WORK.ZS,82.27999878,82.26999664,82.25,82.26000214,82.23999786,82.19999695,81.62000275,82.16999817,82.25,82.62999725,82.83999634,83.05000305,82.48999786,83.76999664,83.98000336,84.08000183,83.84999847,84.12000275,84.75,84.27999878,84.59999847,84.69999695,84.66999817,84.73000336,85.12999725,84.94000244,85.13999939,85.25,85.62999725,
Channel Islands,CHI,"Wage and salaried workers, total (% of total employment) (modeled ILO estimate)",SL.EMP.WORK.ZS,82.83000183,82.87000275,82.94999695,83.05000305,83.15000153,83.23999786,83.37999725,83.51999664,83.68000031,83.94999695,83.95999908,83.95999908,83.90000153,83.94999695,84.05000305,84.26999664,84.54000092,84.56999969,84.41999817,84.51000214,84.58000183,84.65000153,84.76000214,84.87999725,85,85.09999847,85.19000244,85.26999664,85.33999634,
Chile,CHL,"Wage and salaried workers, total (% of total employment) (modeled ILO estimate)",SL.EMP.WORK.ZS,68.68000031,69.01000214,69.26000214,69.47000122,69.91000366,70.08000183,70.40000153,69.19000244,69.19999695,69.41999817,68.61000061,68.47000122,68.23999786,68.16000366,70.16000366,71.08000183,72.12999725,72.75,73.06999969,73.51000214,73.62000275,74.91999817,74.58000183,74.12999725,74.34999847,73.52999878,72.56999969,72.88999939,72.79000092,
China,CHN,"Wage and salaried workers, total (% of total employment) (modeled ILO estimate)",SL.EMP.WORK.ZS,30.19000053,31.37000084,32.59999847,33.79999924,34.81999969,35.68000031,36.43000031,36.95000076,37.43999863,38.09000015,38.77999878,39.61999893,40.63999939,41.70000076,42.95999908,44.33000183,45.86000061,46.99000168,48.04000092,49.24000168,50.25,50.97000122,51.61999893,52.16999817,52.63000107,53.02000046,53.40000153,54.29000092,55.34000015,
Cote d'Ivoire,CIV,"Wage and salaried workers, total (% of total employment) (modeled ILO estimate)",SL.EMP.WORK.ZS,18.21999931,18.18000031,18.05999947,17.80999947,18.04000092,18.44000053,19.20000076,19.21999931,19.63999939,19.47999954,18.63999939,18.57999992,18.52000046,18.89999962,19.01000023,19.37999916,19.63999939,20.20999908,20.85000038,20.80999947,20.95000076,22.18000031,23.43000031,24.27000046,24.51000023,25.02000046,26.60000038,27.75,29.06999969,
Cameroon,CMR,"Wage and salaried workers, total (% of total employment) (modeled ILO estimate)",SL.EMP.WORK.ZS,14.92000008,14.67000008,14.27999973,14.21000004,14.43999958,14.82999992,15.69999981,16.34000015,17.61000061,19.27000046,20.36000061,19.84000015,19.20000076,19.04999924,18.77000046,18.67000008,18.32999992,19.04999924,19.04999924,19.67000008,20.29999924,21.19000053,21.85000038,22.53000069,22.97999954,23.54999924,24.35000038,25.07999992,25.61000061,
"Congo, Dem. Rep.",COD,"Wage and salaried workers, total (% of total employment) (modeled ILO estimate)",SL.EMP.WORK.ZS,10.34000015,10.02000046,9.699999809,9.430000305,9.329999924,10.47000027,9.140000343,8.899999619,8.460000038,8.550000191,9.390000343,9.729999542,9.380000114,10.10000038,10.39000034,10.72000027,11.44999981,12.69999981,13.22999954,15.02000046,16.35000038,17.45999908,18.42000008,19.45000076,19.76000023,19.69000053,20.02000046,20.82999992,20.52000046,
"Congo, Rep.",COG,"Wage and salaried workers, total (% of total employment) (modeled ILO estimate)",SL.EMP.WORK.ZS,16.53000069,16.47999954,16.39999962,16.75,16.71999931,17.34000015,17.61000061,16.81999969,18.23999977,20.25,19.48999977,19.5,19.34000015,20.29999924,21.81999969,22.82999992,21.79999924,23.12000084,21.89999962,24.45000076,24.79999924,24.84000015,24.27000046,24.23999977,22.80999947,21.80999947,21.52000046,21.35000038,21.63999939,
Colombia,COL,"Wage and salaried workers, total (% of total employment) (modeled ILO estimate)",SL.EMP.WORK.ZS,48.40000153,48.45000076,48.56999969,48.74000168,48.88999939,48.84000015,48.90999985,48.74000168,48.09000015,48.22000122,48.15999985,49.81000137,49.70000076,49.06000137,48.97999954,49.13999939,49.31999969,48.99000168,46.88000107,46.59999847,46.45000076,46.81999969,47.66999817,48.49000168,48.95000076,48.86999893,48.90999985,48.61000061,50.43999863,
Comoros,COM,"Wage and salaried workers, total (% of total employment) (modeled ILO estimate)",SL.EMP.WORK.ZS,31.82999992,31.95999908,31.84000015,31.37000084,31.12999916,30.72999954,30.54000092,30.21999931,29.92000008,30.15999985,30.01000023,29.92000008,29.90999985,29.93000031,31.14999962,32.31999969,33.70999908,34.83000183,35.97999954,37.09999847,38.22999954,39.25999832,40.45999908,41.43000031,41.40000153,41.49000168,41.61999893,41.54999924,41.56999969,
Cabo Verde,CPV,"Wage and salaried workers, total (% of total employment) (modeled ILO estimate)",SL.EMP.WORK.ZS,43.97000122,44.47000122,44.68999863,45.56000137,46.52000046,47.72000122,48.83000183,50.16999817,51.40000153,53.25,53.59999847,54.13999939,55.04999924,55.97000122,56.45000076,56.84999847,57.84000015,58.99000168,59.33000183,59.45000076,59.58000183,59.36000061,59.34999847,59.40000153,59.77000046,63.68000031,66.20999908,68.13999939,68.18000031,
Costa Rica,CRI,"Wage and salaried workers, total (% of total employment) (modeled ILO estimate)",SL.EMP.WORK.ZS,69.65000153,71.91999817,71.90000153,71.86000061,71.37999725,71.22000122,69.91999817,70.94000244,70.95999908,70.76000214,68.83000183,68.30000305,69.47000122,68.76999664,71.41000366,70.69000244,73.04000092,72.87000275,72.68000031,75.19000244,77.83999634,77.26000214,74.5,75.59999847,75.69000244,76.55999756,75.69000244,74.87000275,73.36000061,
Caribbean small states,CSS,"Wage and salaried workers, total (% of total employment) (modeled ILO estimate)",SL.EMP.WORK.ZS,66.35022363,66.27077812,66.99659499,67.24324767,68.24225444,68.13343925,68.63391672,68.83294752,68.66241935,68.96031711,69.18005191,70.12045143,70.20201609,70.36596237,70.89467755,70.73847602,71.53411072,70.26215379,70.00367012,69.92939744,69.87156147,70.10249029,69.86955464,70.02313005,69.91614634,69.54863994,69.50440102,69.37916476,69.06237493,
Cuba,CUB,"Wage and salaried workers, total (% of total employment) (modeled ILO estimate)",SL.EMP.WORK.ZS,93.22000122,92.98000336,92.63999939,92.5,92.30000305,92.61000061,91.58000183,90.41000366,88.94000244,88.41000366,87.19999695,87.15000153,86.09999847,85.80000305,86.12000275,87.40000153,88.08999634,87.83000183,88.33999634,88.18000031,81.47000122,79.48999786,78.37000275,76.91999817,75.81999969,74.40000153,73.09999847,72.70999908,72.26000214,
Curacao,CUW,"Wage and salaried workers, total (% of total employment) (modeled ILO estimate)",SL.EMP.WORK.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cayman Islands,CYM,"Wage and salaried workers, total (% of total employment) (modeled ILO estimate)",SL.EMP.WORK.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cyprus,CYP,"Wage and salaried workers, total (% of total employment) (modeled ILO estimate)",SL.EMP.WORK.ZS,74,74.19999695,74.23999786,74.38999939,74.63999939,74.70999908,74.83999634,75.08999634,75.43000031,75.76000214,76.33999634,76.95999908,76.31999969,76.30999756,76.77999878,78.51000214,79.66000366,80.05000305,80.22000122,81.44999695,82.05000305,83.40000153,82.44000244,82.11000061,85.06999969,85.72000122,86.80999756,86.72000122,86.34999847,
Czech Republic,CZE,"Wage and salaried workers, total (% of total employment) (modeled ILO estimate)",SL.EMP.WORK.ZS,88.12999725,88.08999634,88.05999756,88.02999878,88.02999878,87.94999695,87.83000183,86.56999969,85.51999664,85,84.69999695,84.12000275,82.58999634,83.05999756,83.98000336,83.86000061,83.83000183,83.87999725,83.23000336,82.27999878,81.94999695,81.58999634,82.13999939,82.01000214,82.66000366,82.83999634,82.87999725,83.05999756,83.19999695,
Germany,DEU,"Wage and salaried workers, total (% of total employment) (modeled ILO estimate)",SL.EMP.WORK.ZS,90.33000183,89.97000122,89.66999817,89.37000275,89.27999878,89.36000061,89.08999634,89.01999664,89.19999695,89.12999725,88.87000275,88.91000366,88.62999725,87.93000031,87.63999939,87.86000061,88.01000214,88.34999847,88.41000366,88.43000031,88.33000183,88.43000031,88.80000305,89.04000092,89.25,89.58000183,89.80000305,90.09999847,90.38999939,
Djibouti,DJI,"Wage and salaried workers, total (% of total employment) (modeled ILO estimate)",SL.EMP.WORK.ZS,62.93999863,62.56999969,61.99000168,61.54999924,61.04000092,60.38000107,59.77000046,59.11000061,58.74000168,58.27000046,57.90999985,57.79999924,57.79999924,57.84000015,57.93999863,58.25,58.63999939,59.13000107,59.40999985,59.75999832,60.40999985,60.93999863,61.38999939,62.02999878,62.72999954,63.45000076,64,64.80000305,65.55000305,
Dominica,DMA,"Wage and salaried workers, total (% of total employment) (modeled ILO estimate)",SL.EMP.WORK.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Denmark,DNK,"Wage and salaried workers, total (% of total employment) (modeled ILO estimate)",SL.EMP.WORK.ZS,89.16999817,89.26000214,89.25,90.18000031,90.45999908,90.66999817,90.56999969,90.30000305,90.72000122,90.87999725,91.12000275,91.12999725,90.87000275,91.23000336,91.11000061,90.94999695,90.98999786,90.83000183,90.33999634,90.84999847,90.90000153,90.73000336,90.87000275,91.02999878,91.12999725,91.20999908,91.66000366,91.86000061,91.66000366,
Dominican Republic,DOM,"Wage and salaried workers, total (% of total employment) (modeled ILO estimate)",SL.EMP.WORK.ZS,57.43999863,55.72999954,57.72000122,60.22999954,58.31000137,58.13999939,58.00999832,57.79999924,57.45000076,57.06999969,55.50999832,54.70000076,54.97999954,55.88000107,53.75999832,54.38000107,55.09999847,52.88000107,52.63999939,52.49000168,53.04999924,54.11000061,55.18999863,55.16999817,55.59999847,56.93000031,56.04000092,56.63000107,58.22999954,
Algeria,DZA,"Wage and salaried workers, total (% of total employment) (modeled ILO estimate)",SL.EMP.WORK.ZS,61.63999939,61.52999878,61.31999969,61.11999893,61.06999969,61.09000015,61.02000046,61.18999863,61.38999939,61.72000122,62.04999924,63.49000168,64.97000122,65.70999908,66.43000031,66.76000214,67.05000305,67.16000366,67.11000061,67.08000183,67.02999878,68.02999878,68.97000122,68.80999756,68.65000153,68.45999908,68.26999664,68.01999664,67.70999908,
East Asia & Pacific (excluding high income),EAP,"Wage and salaried workers, total (% of total employment) (modeled ILO estimate)",SL.EMP.WORK.ZS,29.58088721,30.58183165,31.72199091,32.75922034,33.72615742,34.64553973,35.43375395,35.59782477,35.95205969,36.53979061,37.44584206,38.07339781,38.82268589,40.09486257,41.31439971,42.48562587,43.69682768,44.58384309,45.50018785,46.52642032,47.56131791,48.43560149,49.23642941,49.85353478,50.73826113,51.26288144,51.65223357,52.19361211,53.11742421,
Early-demographic dividend,EAR,"Wage and salaried workers, total (% of total employment) (modeled ILO estimate)",SL.EMP.WORK.ZS,29.36019932,29.49496367,29.52743263,29.80910541,29.95673967,30.29946823,30.67097072,30.44444053,30.56838632,30.65065645,30.84453481,30.88674767,30.9088352,31.34391007,31.89315032,32.5997993,33.05658923,33.43734714,33.68664676,34.30666087,35.46079773,36.82490219,37.55444473,38.10046935,38.88698797,39.44321747,39.88354571,40.40205715,40.78209687,
East Asia & Pacific,EAS,"Wage and salaried workers, total (% of total employment) (modeled ILO estimate)",SL.EMP.WORK.ZS,34.68059082,35.61367938,36.65872804,37.61501265,38.49575901,39.31603529,40.03442486,40.08841912,40.37089889,40.91697618,41.75222184,42.31581178,42.99764821,44.15833532,45.29754463,46.43617516,47.58046586,48.41917219,49.24950932,50.24299926,51.18500006,51.9747484,52.74901589,53.33168758,54.18072501,54.69240372,55.07337334,55.60742524,56.47720924,
